provider,query_id,pre_fetch_surface_support,post_fetch_discovered_support,trajectory_visible_support,legacy_visible_support,fetched_any_url,fetched_pre_fetch_support_url,decision_cell,semantic_correct,pre_fetch_support_url_count,page_extracted_gold_url_count,fetched_url_count,valid_snippet_rows,valid_page_rows
brave,sealhard_0117c1361b85,0,0,0,0,1,0,BLIND,0,0,0,5,29,5
brave,sealhard_0611df120e9b,0,0,0,0,0,0,NOOP,0,0,0,0,30,0
brave,sealhard_06488d667987,0,0,0,0,1,0,BLIND,1,0,0,1,29,1
brave,sealhard_06b1ff93f9e7,0,0,0,0,1,0,BLIND,1,0,0,1,29,1
brave,sealhard_0d25d5916602,0,0,0,0,1,0,BLIND,1,0,0,1,9,1
brave,sealhard_0fc3e12e6df9,0,0,0,0,0,0,NOOP,0,0,0,0,30,0
brave,sealhard_13f3dda94ad1,0,0,0,0,1,0,BLIND,1,0,0,3,7,3
brave,sealhard_154703c26212,0,0,0,0,0,0,NOOP,0,0,0,0,10,0
brave,sealhard_17561ba00ed9,1,0,1,1,0,0,MISSED,0,1,0,0,30,0
brave,sealhard_1768d0c92783,1,0,1,1,0,0,MISSED,0,8,0,0,30,0
brave,sealhard_1b9de8dee6b2,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_21420e375cbb,0,0,0,0,1,0,BLIND,1,0,0,1,29,1
brave,sealhard_26f0dfb5b0e5,1,0,1,1,0,0,MISSED,0,3,0,0,29,0
brave,sealhard_2a710db3a65d,0,0,0,0,1,0,BLIND,1,0,0,1,9,1
brave,sealhard_2ccdb7c85090,1,0,1,1,0,0,MISSED,0,6,0,0,10,0
brave,sealhard_370de35828d1,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_3bdf0b4d6146,0,0,0,0,1,0,BLIND,0,0,0,2,14,2
brave,sealhard_3c3bc246c0d6,0,0,0,0,1,0,BLIND,0,0,0,2,8,2
brave,sealhard_3fdf524a2ea9,0,0,0,0,1,0,BLIND,1,0,0,1,29,1
brave,sealhard_41eb61aaf82d,0,0,0,0,0,0,NOOP,0,0,0,0,10,0
brave,sealhard_457b38855fa4,1,0,1,1,0,0,MISSED,0,6,0,0,30,0
brave,sealhard_468bd5efbfe8,1,0,1,1,1,1,SMART,1,1,0,1,9,1
brave,sealhard_470fed8377ce,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_4981ad02a6fc,1,0,1,1,0,0,MISSED,1,6,0,0,10,0
brave,sealhard_4a3db339e0a0,1,0,1,1,0,0,MISSED,0,2,0,0,30,0
brave,sealhard_4adca023da1a,0,0,0,0,1,0,BLIND,0,0,0,5,105,5
brave,sealhard_4f128462c995,1,0,1,1,0,0,MISSED,1,8,0,0,9,0
brave,sealhard_4f507e42c1be,0,0,0,0,1,0,BLIND,0,0,0,3,37,3
brave,sealhard_4f8215a4eaab,0,0,0,0,0,0,NOOP,0,0,0,0,10,0
brave,sealhard_509fa8d560e8,1,0,1,1,1,0,MISSED,0,1,1,1,9,1
brave,sealhard_52c34c9decc3,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_5668b93dd088,1,0,1,1,0,0,MISSED,1,3,0,0,20,0
brave,sealhard_5685bd22ca4d,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_57a597e92ac4,1,0,1,1,1,0,MISSED,0,1,1,1,9,1
brave,sealhard_5a4a585bfbac,1,0,1,1,1,1,SMART,1,3,1,3,27,3
brave,sealhard_5e17b3c38fb1,0,1,1,1,1,0,BLIND,1,0,1,1,9,1
brave,sealhard_61f85b369b4c,1,0,1,1,1,0,MISSED,1,1,0,1,29,1
brave,sealhard_644ca5e960ff,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_6747b5584761,0,0,0,0,1,0,BLIND,0,0,0,3,17,3
brave,sealhard_6c0f077e50c1,1,0,1,1,0,0,MISSED,1,1,0,0,10,0
brave,sealhard_6c8b9a75ad1b,0,0,0,0,1,0,BLIND,0,0,0,3,27,3
brave,sealhard_6d8469c83a5a,0,0,0,0,0,0,NOOP,0,0,0,0,10,0
brave,sealhard_6f8f541710fe,0,0,0,0,1,0,BLIND,0,0,0,1,19,1
brave,sealhard_77156a372cf9,0,0,0,0,1,0,BLIND,1,0,0,1,9,1
brave,sealhard_79977a575736,1,0,1,1,0,0,MISSED,1,1,0,0,30,0
brave,sealhard_7a73644c826b,0,1,1,1,1,0,BLIND,0,0,1,1,9,1
brave,sealhard_7b44552616b7,1,0,1,1,0,0,MISSED,1,1,0,0,30,0
brave,sealhard_7e06b26c28c5,0,0,0,0,1,0,BLIND,0,0,0,1,29,1
brave,sealhard_7e9246c1c2fc,0,0,0,0,1,0,BLIND,0,0,0,1,19,1
brave,sealhard_7fdc626d3d31,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_83027d490eb7,0,1,1,1,1,0,BLIND,0,0,1,3,7,3
brave,sealhard_84253b2d7450,1,0,1,1,1,0,MISSED,1,1,0,1,9,1
brave,sealhard_848d0e19b216,0,0,0,0,0,0,NOOP,0,0,0,0,30,0
brave,sealhard_85fcb317a706,0,0,0,0,1,0,BLIND,0,0,0,2,28,2
brave,sealhard_862314ca8353,0,0,0,0,1,0,BLIND,0,0,0,1,29,1
brave,sealhard_877552ec67c0,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
brave,sealhard_88907b1ee49b,0,0,0,0,1,0,BLIND,0,0,0,4,38,4
brave,sealhard_8979d1d1c501,0,0,0,0,1,0,BLIND,1,0,0,1,19,1
brave,sealhard_8999039cdd56,1,0,1,1,1,0,MISSED,0,1,0,1,9,1
brave,sealhard_8b97a64daaf1,0,0,0,0,1,0,BLIND,1,0,0,1,9,1
brave,sealhard_904abf430fa7,0,0,0,0,1,0,BLIND,0,0,0,2,27,2
brave,sealhard_92742491b67e,0,0,0,0,1,0,BLIND,0,0,0,1,9,1
