provider,policy,queries,support_captured_q,support_captured_pct,incremental_page_support_q,fetches_used,avg_fetches_per_query,support_per_fetch,incremental_support_per_fetch,estimated_fetch_tokens,estimated_fetch_tokens_per_query,imputed_fetches,surface_contradiction_q,opened_contradiction_q
brave,snippet_only,100,30,30,0,0,0.0,,,0,0,0,27,0
brave,fetch_rank_1,100,30,30,0,100,1.0,0.3,0.0,1661620,16616,76,27,11
brave,fetch_top_3,100,31,31,1,300,3.0,0.103,0.003,4402342,44023,254,27,17
brave,fetch_top_5,100,33,33,3,500,5.0,0.066,0.006,6909302,69093,440,27,21
brave,observed_agent_policy,100,33,33,3,101,1.01,0.327,0.03,2193916,21939,0,27,9
brave,oracle_fetch_if_any_support,100,33,33,3,33,0.33,1.0,0.091,423276,4233,27,27,0
brave,oracle_fetch_if_needed,100,33,33,3,3,0.03,11.0,1.0,31808,318,0,27,0
tavily,snippet_only,100,16,16,0,0,0.0,,,0,0,0,21,0
tavily,fetch_rank_1,100,18,18,2,100,1.0,0.18,0.02,1104906,11049,81,21,7
tavily,fetch_top_3,100,21,21,5,300,3.0,0.07,0.017,3408179,34082,255,21,16
tavily,fetch_top_5,100,24,24,8,500,5.0,0.048,0.016,5614547,56145,431,21,18
tavily,observed_agent_policy,100,24,24,8,125,1.25,0.192,0.064,2153973,21540,0,21,8
tavily,oracle_fetch_if_any_support,100,24,24,8,24,0.24,1.0,0.333,433959,4340,13,21,0
tavily,oracle_fetch_if_needed,100,24,24,8,8,0.08,3.0,1.0,151434,1514,0,21,0
firecrawl,snippet_only,100,16,16,0,0,0.0,,,0,0,0,28,0
firecrawl,fetch_rank_1,100,18,18,2,100,1.0,0.18,0.02,1627864,16279,67,28,10
firecrawl,fetch_top_3,100,18,18,2,300,3.0,0.06,0.007,4041551,40416,236,28,20
firecrawl,fetch_top_5,100,19,19,3,500,5.0,0.038,0.006,6038298,60383,423,28,25
firecrawl,observed_agent_policy,100,19,19,3,124,1.24,0.153,0.024,2657513,26575,0,28,10
firecrawl,oracle_fetch_if_any_support,100,19,19,3,19,0.19,1.0,0.158,337991,3380,13,28,0
firecrawl,oracle_fetch_if_needed,100,19,19,3,3,0.03,6.333,1.0,38330,383,0,28,0
